               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02651,            0.012975,           0.0028643,             0.92955,             0.93876,             0.97727,             0.69116,            0.019698,           0.0068688,          0.00065969,             0.00307,             0.00307,             0.00307
                  37,            0.026722,            0.013443,           0.0026504,             0.92518,             0.96837,             0.98399,             0.71032,            0.019887,           0.0066246,          0.00037265,            0.002872,            0.002872,            0.002872
                  38,            0.026975,            0.013431,           0.0029214,             0.93079,             0.96487,             0.98703,             0.72136,            0.018796,           0.0066238,          0.00033761,            0.002674,            0.002674,            0.002674
                  39,              0.0269,            0.013483,           0.0032366,             0.93049,             0.96312,             0.98504,             0.72943,            0.018528,           0.0064302,          0.00037484,            0.002476,            0.002476,            0.002476
                  40,            0.025605,            0.012404,           0.0028654,             0.93522,             0.96112,               0.985,              0.7305,            0.018264,           0.0064471,          0.00030711,            0.002278,            0.002278,            0.002278
                  41,            0.025189,            0.012581,            0.002294,             0.95059,             0.95616,             0.98856,             0.73241,            0.018281,           0.0064069,          0.00032726,             0.00208,             0.00208,             0.00208
                  42,            0.026452,            0.012867,           0.0031495,             0.94497,             0.94442,             0.98373,             0.71194,            0.018654,           0.0065084,          0.00043788,            0.001882,            0.001882,            0.001882
                  43,            0.026466,            0.013243,           0.0032912,             0.94037,             0.96203,             0.98463,             0.72294,            0.018585,           0.0064124,          0.00040959,            0.001684,            0.001684,            0.001684
                  44,             0.02496,            0.012721,           0.0023561,             0.95268,             0.95853,             0.98934,             0.74423,            0.017695,           0.0064504,          0.00027648,            0.001486,            0.001486,            0.001486
                  45,            0.024852,             0.01328,           0.0035763,             0.96158,              0.9631,             0.99006,             0.74994,            0.017737,           0.0063294,          0.00027839,            0.001288,            0.001288,            0.001288
                  46,            0.025506,            0.012915,           0.0023633,             0.95379,             0.96247,             0.98954,             0.75292,            0.017333,            0.006236,          0.00029618,             0.00109,             0.00109,             0.00109
                  47,             0.02473,            0.012685,           0.0024192,             0.95222,             0.96608,             0.99045,             0.75894,            0.016968,           0.0061273,          0.00024631,            0.000892,            0.000892,            0.000892
                  48,            0.024856,            0.012663,           0.0020908,             0.95331,             0.96272,             0.98975,             0.74877,            0.017111,            0.006192,          0.00021856,            0.000694,            0.000694,            0.000694
                  49,            0.024369,            0.012411,           0.0022325,             0.95884,             0.96134,             0.99067,             0.75859,             0.01679,           0.0061511,          0.00020902,            0.000496,            0.000496,            0.000496
