               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.022853,            0.011116,           0.0016195,             0.96676,              0.9797,             0.99306,             0.79572,            0.016559,           0.0052853,          0.00023406,             0.00307,             0.00307,             0.00307
                  37,            0.023157,             0.01116,           0.0019345,             0.98073,             0.98508,             0.99394,             0.80346,            0.015568,           0.0051421,          0.00029426,            0.002872,            0.002872,            0.002872
                  38,            0.022263,             0.01116,           0.0021049,             0.97975,             0.97984,             0.99391,              0.8038,              0.0151,            0.005136,          0.00034516,            0.002674,            0.002674,            0.002674
                  39,            0.022571,            0.011309,           0.0024988,             0.97999,              0.9792,             0.99394,             0.80093,            0.015261,           0.0051318,          0.00024797,            0.002476,            0.002476,            0.002476
                  40,            0.022166,            0.011002,           0.0021665,             0.98838,             0.98024,             0.99391,             0.80693,            0.015017,           0.0051384,          0.00024429,            0.002278,            0.002278,            0.002278
                  41,            0.021705,            0.010714,           0.0021511,             0.98921,             0.97786,              0.9944,             0.81333,            0.014862,           0.0050904,          0.00023051,             0.00208,             0.00208,             0.00208
                  42,            0.020974,            0.010683,            0.001913,             0.97744,             0.98833,             0.99456,              0.8104,            0.014764,           0.0050516,          0.00022267,            0.001882,            0.001882,            0.001882
                  43,            0.022026,            0.011068,           0.0017338,             0.97353,             0.99399,             0.99439,             0.81211,            0.014507,           0.0050132,          0.00018791,            0.001684,            0.001684,            0.001684
                  44,            0.021446,            0.010835,           0.0020407,              0.9853,             0.98522,              0.9947,             0.82334,            0.014128,           0.0048854,          0.00016981,            0.001486,            0.001486,            0.001486
                  45,            0.020676,            0.010096,           0.0016906,             0.97895,             0.99025,             0.99443,             0.82102,            0.013999,           0.0048552,          0.00015648,            0.001288,            0.001288,            0.001288
                  46,            0.020788,            0.010436,           0.0014809,             0.98642,             0.99034,              0.9946,             0.81708,            0.014164,           0.0048561,          0.00015256,             0.00109,             0.00109,             0.00109
                  47,            0.020806,            0.010877,           0.0013819,             0.98558,             0.98633,             0.99469,             0.81993,            0.013589,           0.0047989,          0.00014031,            0.000892,            0.000892,            0.000892
                  48,            0.020159,            0.010401,           0.0019137,             0.99084,             0.98092,             0.99473,             0.82455,            0.013589,           0.0047852,          0.00013627,            0.000694,            0.000694,            0.000694
                  49,            0.020696,             0.01026,           0.0014924,             0.98542,             0.98543,             0.99471,              0.8278,            0.013379,           0.0047465,          0.00013141,            0.000496,            0.000496,            0.000496
