model,mAP,mAP_COCO,inference,FPS
yolov3,0.9948899999999999,0.88625,0.03124271906339205,32.007457416589816
yolov3-tiny,0.9863299999999999,0.7198399999999999,0.015621494363855433,64.0143623079858
yolov5l,0.9949600000000001,0.87571,0.031242503986492025,32.00767775951502
yolov5m,0.9948600000000001,0.8552700000000001,0.015620797872543335,64.01721654421374
yolov5n,0.99067,0.75859,0.01562095433473587,64.01657533665076
yolov5s,0.99471,0.8278,0.015621610390123471,64.0138868545995
yolov5x,0.9949600000000001,0.88236,0.04686349905454196,21.338568825946023
