               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.019948,           0.0096423,           0.0019349,             0.99087,              0.9877,             0.99465,             0.83646,            0.013035,           0.0044288,          0.00026535,             0.00307,             0.00307,             0.00307
                  37,            0.018885,           0.0093418,           0.0013779,             0.98946,              0.9967,             0.99487,             0.84043,            0.013179,           0.0043496,          0.00021878,            0.002872,            0.002872,            0.002872
                  38,            0.019034,           0.0093613,           0.0016422,             0.98462,             0.99756,             0.99487,             0.85287,            0.012686,           0.0042266,          0.00020569,            0.002674,            0.002674,            0.002674
                  39,             0.01841,           0.0091674,           0.0015361,             0.99286,             0.99568,             0.99492,             0.85017,             0.01212,            0.004176,          0.00020729,            0.002476,            0.002476,            0.002476
                  40,            0.018388,           0.0090244,           0.0015623,             0.99235,             0.99316,             0.99491,             0.84303,            0.012187,           0.0041769,          0.00019033,            0.002278,            0.002278,            0.002278
                  41,              0.0177,           0.0094108,           0.0014146,              0.9942,             0.99178,             0.99494,               0.856,             0.01194,           0.0040673,           0.0001671,             0.00208,             0.00208,             0.00208
                  42,            0.017257,           0.0086128,          0.00092908,             0.99329,             0.99306,             0.99494,              0.8655,            0.011697,           0.0040136,          0.00015112,            0.001882,            0.001882,            0.001882
                  43,             0.01763,            0.008612,          0.00090427,             0.99449,             0.99456,             0.99489,             0.86618,            0.011354,           0.0039614,           0.0001378,            0.001684,            0.001684,            0.001684
                  44,            0.016933,           0.0086174,             0.00103,             0.99091,             0.99506,             0.99486,             0.86999,            0.011356,           0.0039751,          0.00011745,            0.001486,            0.001486,            0.001486
                  45,             0.01634,           0.0089432,           0.0015045,             0.99474,             0.99735,             0.99492,             0.87325,            0.011017,           0.0039007,          0.00011657,            0.001288,            0.001288,            0.001288
                  46,            0.015744,           0.0084894,           0.0012904,             0.99471,             0.99753,             0.99495,             0.87501,            0.010998,           0.0038684,          0.00012188,             0.00109,             0.00109,             0.00109
                  47,            0.015312,           0.0083196,          0.00085254,             0.99285,             0.99651,             0.99494,             0.87663,            0.010706,           0.0038495,           0.0001112,            0.000892,            0.000892,            0.000892
                  48,            0.015772,           0.0082147,          0.00083959,              0.9933,             0.99651,             0.99496,             0.87946,            0.010539,           0.0038355,          0.00010899,            0.000694,            0.000694,            0.000694
                  49,            0.015672,           0.0085924,          0.00092376,             0.99375,             0.99735,             0.99496,             0.88236,            0.010395,           0.0037808,          0.00010404,            0.000496,            0.000496,            0.000496
