model,mAP,inference,FPS
yolov3,0.9948899999999999,0.031241768090299857,32.00843169661983
yolov3-tiny,0.9863299999999999,0.015621309930627996,64.01511809450405
yolov5l,0.9949600000000001,0.031232757623805556,32.01766594051246
yolov5m,0.9948600000000001,0.015621531278567207,64.01421103781314
yolov5n,0.99067,0.015621569007635117,64.0140564312871
yolov5s,0.99471,0.015620924705682798,64.01669676035286
yolov5x,0.9949600000000001,0.046859096258114546,21.340573759504185
