               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.020715,            0.010306,           0.0022214,             0.98127,             0.98111,             0.99293,             0.81619,             0.01417,           0.0047279,          0.00025746,             0.00307,             0.00307,             0.00307
                  37,            0.020088,           0.0099149,           0.0016599,             0.97998,             0.99245,             0.99428,             0.82435,            0.014262,           0.0046906,          0.00032739,            0.002872,            0.002872,            0.002872
                  38,             0.02001,            0.010061,           0.0021519,             0.97326,             0.98927,             0.99338,              0.8141,            0.013994,            0.004789,          0.00030376,            0.002674,            0.002674,            0.002674
                  39,            0.019526,           0.0099171,            0.002356,             0.98406,             0.99011,             0.99374,             0.82706,            0.013291,           0.0046071,          0.00027156,            0.002476,            0.002476,            0.002476
                  40,            0.019611,            0.009925,           0.0012672,             0.97947,             0.99471,             0.99448,             0.83498,            0.012964,           0.0044482,          0.00024313,            0.002278,            0.002278,            0.002278
                  41,            0.019114,           0.0092808,           0.0015461,             0.97495,             0.99464,             0.99443,             0.83336,            0.013165,           0.0044737,          0.00021336,             0.00208,             0.00208,             0.00208
                  42,            0.019155,           0.0098083,           0.0017274,             0.98345,             0.98556,              0.9943,             0.83777,            0.012784,           0.0043997,           0.0001909,            0.001882,            0.001882,            0.001882
                  43,            0.018743,            0.009208,           0.0010982,             0.99324,             0.99027,              0.9946,             0.84503,             0.01266,           0.0043527,          0.00017671,            0.001684,            0.001684,            0.001684
                  44,             0.01933,           0.0095098,           0.0014028,             0.99251,             0.99157,              0.9947,             0.84641,            0.012331,           0.0042941,          0.00016625,            0.001486,            0.001486,            0.001486
                  45,            0.018831,           0.0097607,           0.0011842,              0.9907,             0.99252,             0.99492,               0.846,            0.012478,           0.0043032,          0.00015671,            0.001288,            0.001288,            0.001288
                  46,            0.018239,           0.0094233,           0.0011673,             0.98843,             0.99374,             0.99482,             0.85502,            0.012093,           0.0042343,          0.00015113,             0.00109,             0.00109,             0.00109
                  47,            0.017891,           0.0090077,           0.0013138,             0.98981,             0.99188,             0.99449,             0.85681,            0.011931,            0.004193,          0.00013395,            0.000892,            0.000892,            0.000892
                  48,            0.016838,           0.0088427,          0.00079785,             0.99138,             0.99149,             0.99479,             0.85824,            0.011701,            0.004129,          0.00012528,            0.000694,            0.000694,            0.000694
                  49,            0.017306,           0.0092425,           0.0010751,             0.99171,             0.99518,             0.99486,             0.85527,            0.011641,           0.0040995,          0.00011845,            0.000496,            0.000496,            0.000496
