               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.019757,           0.0097079,           0.0014712,             0.99061,             0.99262,             0.99481,             0.83873,            0.013142,           0.0042812,          0.00024859,             0.00307,             0.00307,             0.00307
                  37,            0.019567,           0.0095248,           0.0023047,             0.98282,             0.98701,             0.99416,             0.84991,            0.012619,           0.0042719,          0.00078194,            0.002872,            0.002872,            0.002872
                  38,            0.018223,           0.0093327,           0.0025221,             0.99108,             0.99158,             0.99489,             0.85455,            0.013141,           0.0041741,          0.00028298,            0.002674,            0.002674,            0.002674
                  39,            0.018087,           0.0091246,            0.001959,             0.98821,             0.99379,             0.99485,             0.85093,            0.012409,           0.0041185,           0.0003236,            0.002476,            0.002476,            0.002476
                  40,            0.019367,           0.0092735,           0.0021909,             0.98557,             0.99071,             0.99477,             0.85816,            0.011841,           0.0041105,          0.00028107,            0.002278,            0.002278,            0.002278
                  41,            0.017697,           0.0092896,           0.0018542,             0.98883,             0.99651,              0.9949,             0.85476,            0.012064,           0.0041512,          0.00020972,             0.00208,             0.00208,             0.00208
                  42,            0.018404,           0.0093435,           0.0015258,             0.99402,              0.9976,             0.99494,             0.86649,            0.011723,           0.0040245,          0.00022471,            0.001882,            0.001882,            0.001882
                  43,            0.017229,             0.00865,           0.0014652,             0.99005,             0.99484,             0.99482,             0.86335,             0.01155,           0.0039651,          0.00021642,            0.001684,            0.001684,            0.001684
                  44,            0.016278,           0.0083522,           0.0011445,             0.99205,             0.99651,             0.99482,             0.86918,            0.011186,           0.0039154,          0.00017751,            0.001486,            0.001486,            0.001486
                  45,            0.016664,           0.0087733,           0.0011162,             0.99085,             0.99735,             0.99491,             0.87486,            0.011026,           0.0038698,          0.00015359,            0.001288,            0.001288,            0.001288
                  46,            0.016387,           0.0085495,           0.0012919,             0.99079,             0.99735,             0.99493,             0.88035,            0.010761,           0.0038043,          0.00014239,             0.00109,             0.00109,             0.00109
                  47,            0.015651,           0.0083799,            0.000967,              0.9928,             0.99617,             0.99496,             0.88288,            0.010512,           0.0037636,          0.00013151,            0.000892,            0.000892,            0.000892
                  48,            0.015209,           0.0081567,           0.0007478,               0.993,             0.99579,             0.99494,             0.88403,            0.010353,            0.003725,          0.00012392,            0.000694,            0.000694,            0.000694
                  49,            0.015867,           0.0083833,           0.0010502,             0.99351,             0.99555,             0.99489,             0.88625,            0.010302,           0.0037104,          0.00012497,            0.000496,            0.000496,            0.000496
