epoch,mAP,wolf,dog,val_mAP,val_wolf,val_dog
101,0.8917,0.8746,0.9087,0.8405,0.8013,0.8798
102,0.8915,0.8746,0.9084,0.8344,0.794,0.8747
103,0.894,0.8803,0.9077,0.8342,0.8,0.8683
104,0.8887,0.8708,0.9066,0.84,0.8169,0.863
105,0.8949,0.8818,0.908,0.8351,0.8093,0.8608
106,0.8926,0.8765,0.9087,0.8324,0.81,0.8548
107,0.8924,0.877,0.9077,0.8328,0.8048,0.8609
108,0.891,0.873,0.9091,0.8349,0.7957,0.8741
109,0.8953,0.8823,0.9084,0.8187,0.7859,0.8515
110,0.8923,0.8766,0.908,0.8303,0.7892,0.8714
111,0.8931,0.8782,0.908,0.8303,0.7933,0.8674
112,0.8941,0.8798,0.9084,0.8339,0.8021,0.8658
113,0.8923,0.8759,0.9087,0.8341,0.8008,0.8674
114,0.8925,0.8766,0.9084,0.8367,0.8012,0.8722
115,0.8933,0.8782,0.9084,0.8383,0.8,0.8767
116,0.8924,0.8769,0.908,0.8349,0.7983,0.8714
117,0.8931,0.8782,0.908,0.835,0.8024,0.8677
118,0.8919,0.8751,0.9087,0.8337,0.8009,0.8665
119,0.8921,0.8763,0.908,0.8343,0.8021,0.8665
120,0.8916,0.8752,0.908,0.8339,0.8047,0.863
121,0.8926,0.8771,0.908,0.8323,0.7984,0.8662
122,0.8936,0.8792,0.908,0.8344,0.799,0.8697
123,0.8935,0.879,0.908,0.8349,0.8017,0.8681
124,0.894,0.8792,0.9087,0.831,0.8025,0.8596
125,0.8943,0.8798,0.9087,0.8306,0.7957,0.8655
126,0.894,0.8796,0.9084,0.8317,0.7973,0.8661
127,0.8945,0.8809,0.908,0.8309,0.7968,0.865
128,0.8933,0.8786,0.908,0.8328,0.7987,0.8669
129,0.8927,0.8766,0.9087,0.8352,0.8055,0.8648
130,0.8933,0.8782,0.9084,0.8335,0.7964,0.8706
131,0.8942,0.8804,0.908,0.8291,0.7926,0.8656
132,0.8928,0.8775,0.908,0.833,0.8017,0.8643
133,0.8928,0.8776,0.908,0.8369,0.8015,0.8724
134,0.8934,0.8784,0.9084,0.8353,0.8035,0.8671
135,0.8918,0.8755,0.908,0.8347,0.7994,0.87
136,0.8915,0.875,0.908,0.8334,0.8027,0.8642
137,0.8926,0.8773,0.908,0.8281,0.7887,0.8676
138,0.8942,0.8804,0.908,0.832,0.7912,0.8728
139,0.8944,0.8804,0.9084,0.8351,0.7984,0.8718
140,0.8949,0.8818,0.908,0.8335,0.7974,0.8695
141,0.8936,0.8791,0.908,0.8389,0.8049,0.8729
142,0.8947,0.8814,0.908,0.838,0.8046,0.8714
143,0.8944,0.8805,0.9084,0.8366,0.8018,0.8713
144,0.8945,0.8809,0.908,0.8376,0.8029,0.8724
145,0.8938,0.8795,0.908,0.8384,0.8046,0.8721
146,0.8944,0.8804,0.9084,0.8354,0.8003,0.8704
147,0.894,0.8796,0.9084,0.8347,0.8036,0.8658
148,0.8952,0.882,0.9084,0.8354,0.7989,0.8718
149,0.8935,0.8787,0.9084,0.8373,0.8035,0.8712
150,0.892,0.8754,0.9087,0.8364,0.8058,0.8671
151,0.893,0.8776,0.9084,0.8344,0.7998,0.869
152,0.8929,0.8773,0.9084,0.8349,0.8005,0.8692
153,0.8935,0.8782,0.9087,0.8342,0.801,0.8674
154,0.8941,0.8794,0.9087,0.8347,0.8011,0.8683
155,0.8942,0.8797,0.9087,0.835,0.8017,0.8683
156,0.8934,0.8781,0.9087,0.835,0.8017,0.8683
157,0.8943,0.8799,0.9087,0.8364,0.8023,0.8705
158,0.8944,0.88,0.9087,0.8359,0.8027,0.8691
159,0.8944,0.8801,0.9087,0.8362,0.8031,0.8693
160,0.8946,0.8804,0.9087,0.8361,0.8025,0.8696
